,cm_overall,epochs,network,pct_white,test_size,training_size,p_cm,P_cm,r_cm,R_cm,n_cm,N_cm,b_cm,B_cm,q_cm,Q_cm,k_cm,K_cm,white_cm,black_cm
1,"[[4054  797]
 [ 874 4275]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[462  99]
 [ 27 595]]","[[529  77]
 [176 444]]","[[299  82]
 [ 52 395]]","[[388 113]
 [ 87 424]]","[[223  58]
 [ 23 292]]","[[372  43]
 [110 271]]","[[276  57]
 [ 34 263]]","[[331  50]
 [ 88 278]]","[[280  79]
 [ 20 355]]","[[337  69]
 [106 377]]","[[239  67]
 [ 22 277]]","[[318  80]
 [ 52 304]]","[[2275  432]
 [ 619 2098]]","[[1779  442]
 [ 178 2177]]"
1,"[[3091 3011]
 [1837 2061]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[299 262]
 [287 335]]","[[455 151]
 [423 197]]","[[216 165]
 [224 223]]","[[323 178]
 [348 163]]","[[155 126]
 [140 175]]","[[277 138]
 [252 129]]","[[172 161]
 [157 140]]","[[279 102]
 [247 119]]","[[203 156]
 [201 174]]","[[289 117]
 [342 141]]","[[171 135]
 [170 129]]","[[252 146]
 [220 136]]","[[1875  832]
 [1832  885]]","[[1216 1005]
 [1179 1176]]"
1,"[[1289 1321]
 [3639 3751]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[200 361]
 [193 429]]","[[ 58 548]
 [ 59 561]]","[[202 179]
 [213 234]]","[[ 97 404]
 [106 405]]","[[ 98 183]
 [ 99 216]]","[[ 31 384]
 [ 35 346]]","[[119 214]
 [123 174]]","[[ 39 342]
 [ 35 331]]","[[142 217]
 [149 226]]","[[ 48 358]
 [ 62 421]]","[[150 156]
 [166 133]]","[[105 293]
 [ 81 275]]","[[ 378 2329]
 [ 378 2339]]","[[ 911 1310]
 [ 943 1412]]"
1,"[[2437 2425]
 [2491 2647]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[442 119]
 [470 152]]","[[179 427]
 [165 455]]","[[227 154]
 [248 199]]","[[193 308]
 [200 311]]","[[214  67]
 [241  74]]","[[108 307]
 [ 95 286]]","[[243  90]
 [213  84]]","[[116 265]
 [ 94 272]]","[[241 118]
 [244 131]]","[[130 276]
 [148 335]]","[[181 125]
 [185 114]]","[[163 235]
 [122 234]]","[[ 889 1818]
 [ 824 1893]]","[[1548  673]
 [1601  754]]"
1,"[[3786 3646]
 [1142 1426]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[393 168]
 [395 227]]","[[562  44]
 [548  72]]","[[173 208]
 [202 245]]","[[423  78]
 [409 102]]","[[206  75]
 [215 100]]","[[396  19]
 [349  32]]","[[215 118]
 [184 113]]","[[350  31]
 [339  27]]","[[219 140]
 [180 195]]","[[358  48]
 [426  57]]","[[175 131]
 [137 162]]","[[316  82]
 [262  94]]","[[2405  302]
 [2333  384]]","[[1381  840]
 [1313 1042]]"
1,"[[2841 2356]
 [2087 2716]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[402 159]
 [384 238]]","[[354 252]
 [214 406]]","[[168 213]
 [168 279]]","[[250 251]
 [213 298]]","[[202  79]
 [214 101]]","[[243 172]
 [159 222]]","[[211 122]
 [182 115]]","[[231 150]
 [163 203]]","[[210 149]
 [177 198]]","[[211 195]
 [186 297]]","[[163 143]
 [145 154]]","[[196 202]
 [151 205]]","[[1485 1222]
 [1086 1631]]","[[1356  865]
 [1270 1085]]"
1,"[[2659 2301]
 [2269 2771]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[466  95]
 [451 171]]","[[186 420]
 [ 84 536]]","[[262 119]
 [288 159]]","[[204 297]
 [173 338]]","[[238  43]
 [254  61]]","[[118 297]
 [ 74 307]]","[[286  47]
 [230  67]]","[[105 276]
 [ 63 303]]","[[266  93]
 [269 106]]","[[109 297]
 [ 85 398]]","[[234  72]
 [201  98]]","[[185 213]
 [129 227]]","[[ 907 1800]
 [ 608 2109]]","[[1752  469]
 [1693  662]]"
1,"[[3218 1508]
 [1710 3564]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[401 160]
 [126 496]]","[[392 214]
 [ 70 550]]","[[253 128]
 [209 238]]","[[285 216]
 [150 361]]","[[204  77]
 [140 175]]","[[266 149]
 [105 276]]","[[241  92]
 [153 144]]","[[253 128]
 [ 99 267]]","[[245 114]
 [136 239]]","[[242 164]
 [115 368]]","[[200 106]
 [120 179]]","[[236 162]
 [ 85 271]]","[[1674 1033]
 [ 624 2093]]","[[1544  677]
 [ 884 1471]]"
1,"[[2149  460]
 [2779 4612]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[218 343]
 [ 31 591]]","[[306 300]
 [ 37 583]]","[[147 234]
 [ 47 400]]","[[227 274]
 [ 82 429]]","[[116 165]
 [ 16 299]]","[[203 212]
 [ 46 335]]","[[133 200]
 [ 20 277]]","[[182 199]
 [ 33 333]]","[[127 232]
 [ 19 356]]","[[195 211]
 [ 61 422]]","[[111 195]
 [ 29 270]]","[[184 214]
 [ 39 317]]","[[1297 1410]
 [ 298 2419]]","[[ 852 1369]
 [ 162 2193]]"
1,"[[2416  486]
 [2512 4586]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[199 362]
 [ 39 583]]","[[364 242]
 [ 46 574]]","[[173 208]
 [ 53 394]]","[[254 247]
 [ 72 439]]","[[113 168]
 [ 24 291]]","[[259 156]
 [ 53 328]]","[[148 185]
 [ 20 277]]","[[223 158]
 [ 45 321]]","[[146 213]
 [ 20 355]]","[[226 180]
 [ 47 436]]","[[115 191]
 [ 27 272]]","[[196 202]
 [ 40 316]]","[[1522 1185]
 [ 303 2414]]","[[ 894 1327]
 [ 183 2172]]"
1,"[[3579  817]
 [1349 4255]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[389 172]
 [ 62 560]]","[[464 142]
 [ 90 530]]","[[276 105]
 [ 81 366]]","[[334 167]
 [ 85 426]]","[[203  78]
 [ 55 260]]","[[327  88]
 [ 99 282]]","[[257  76]
 [ 45 252]]","[[296  85]
 [ 91 275]]","[[256 103]
 [ 41 334]]","[[304 102]
 [ 60 423]]","[[205 101]
 [ 55 244]]","[[268 130]
 [ 53 303]]","[[1993  714]
 [ 478 2239]]","[[1586  635]
 [ 339 2016]]"
1,"[[3692  402]
 [1236 4670]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2048}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[429 132]
 [ 45 577]]","[[469 137]
 [ 45 575]]","[[267 114]
 [ 50 397]]","[[345 156]
 [ 44 467]]","[[222  59]
 [ 22 293]]","[[327  88]
 [ 26 355]]","[[265  68]
 [ 35 262]]","[[299  82]
 [ 33 333]]","[[276  83]
 [ 32 343]]","[[303 103]
 [ 35 448]]","[[218  88]
 [ 23 276]]","[[272 126]
 [ 12 344]]","[[2015  692]
 [ 195 2522]]","[[1677  544]
 [ 207 2148]]"
